subset,slide_id,patch_id,biological_class,medical_center
tumor-RUMC,tumor_064,67520,tumor,RUMC
normal-RUMC,test_007,27482,normal,RUMC
normal-RUMC,test_056,17506,normal,RUMC
tumor-RUMC,tumor_068,33438,tumor,RUMC
tumor-RUMC,tumor_064,15851,tumor,RUMC
tumor-UMCU,tumor_089,26719,tumor,UMCU
tumor-RUMC,tumor_054,60247,tumor,RUMC
normal-UMCU,normal_133,34447,normal,UMCU
normal-RUMC,normal_045,55866,normal,RUMC
normal-UMCU,test_095,1872,normal,UMCU
tumor-UMCU,tumor_088,13064,tumor,UMCU
normal-RUMC,normal_045,44799,normal,RUMC
normal-UMCU,normal_125,21088,normal,UMCU
normal-UMCU,normal_147,10146,normal,UMCU
tumor-RUMC,test_021,57672,tumor,RUMC
tumor-UMCU,tumor_085,28091,tumor,UMCU
normal-UMCU,normal_141,5036,normal,UMCU
normal-RUMC,test_007,47786,normal,RUMC
normal-RUMC,test_081,35000,normal,RUMC
normal-UMCU,test_109,30532,normal,UMCU
normal-UMCU,normal_116,3417,normal,UMCU
normal-UMCU,normal_103,16055,normal,UMCU
tumor-UMCU,tumor_110,10395,tumor,UMCU
normal-RUMC,normal_061,32147,normal,RUMC
normal-UMCU,test_095,3873,normal,UMCU
tumor-RUMC,tumor_016,32697,tumor,RUMC
tumor-RUMC,tumor_044,63872,tumor,RUMC
normal-UMCU,test_044,9891,normal,UMCU
normal-UMCU,test_034,8071,normal,UMCU
normal-UMCU,normal_101,17818,normal,UMCU
tumor-UMCU,tumor_088,11779,tumor,UMCU
normal-UMCU,test_034,18875,normal,UMCU
tumor-UMCU,tumor_095,19903,tumor,UMCU
tumor-RUMC,tumor_058,20646,tumor,RUMC
tumor-RUMC,tumor_016,30565,tumor,RUMC
tumor-RUMC,tumor_054,59388,tumor,RUMC
normal-RUMC,test_107,43842,normal,RUMC
normal-RUMC,normal_017,31711,normal,RUMC
normal-RUMC,test_056,33512,normal,RUMC
normal-UMCU,normal_121,57867,normal,UMCU
normal-RUMC,test_056,50844,normal,RUMC
normal-RUMC,normal_061,28876,normal,RUMC
tumor-UMCU,tumor_089,12076,tumor,UMCU
tumor-UMCU,test_114,28677,tumor,UMCU
normal-UMCU,normal_130,9412,normal,UMCU
normal-RUMC,normal_054,42091,normal,RUMC
normal-UMCU,normal_130,12523,normal,UMCU
tumor-RUMC,tumor_009,50712,tumor,RUMC
tumor-RUMC,tumor_054,59411,tumor,RUMC
tumor-UMCU,test_073,14130,tumor,UMCU
tumor-UMCU,tumor_095,19049,tumor,UMCU
tumor-RUMC,tumor_016,35301,tumor,RUMC
normal-RUMC,test_081,61815,normal,RUMC
normal-RUMC,test_059,46082,normal,RUMC
tumor-RUMC,test_090,18595,tumor,RUMC
tumor-RUMC,test_068,38346,tumor,RUMC
tumor-UMCU,test_113,19423,tumor,UMCU
normal-UMCU,normal_137,48329,normal,UMCU
tumor-RUMC,tumor_055,52187,tumor,RUMC
normal-RUMC,normal_045,47873,normal,RUMC
tumor-UMCU,tumor_110,10130,tumor,UMCU
tumor-UMCU,tumor_072,5334,tumor,UMCU
tumor-UMCU,tumor_090,15683,tumor,UMCU
normal-UMCU,normal_103,15281,normal,UMCU
tumor-UMCU,tumor_088,13231,tumor,UMCU
normal-RUMC,normal_059,65817,normal,RUMC
tumor-UMCU,tumor_110,6068,tumor,UMCU
tumor-UMCU,test_073,47842,tumor,UMCU
tumor-UMCU,tumor_089,10370,tumor,UMCU
tumor-UMCU,test_105,17260,tumor,UMCU
tumor-RUMC,tumor_046,53635,tumor,RUMC
tumor-RUMC,test_090,49982,tumor,RUMC
tumor-RUMC,tumor_039,44698,tumor,RUMC
tumor-RUMC,test_040,52525,tumor,RUMC
tumor-RUMC,tumor_047,32428,tumor,RUMC
normal-RUMC,normal_094,53223,normal,RUMC
normal-UMCU,normal_150,6035,normal,UMCU
normal-UMCU,normal_101,24885,normal,UMCU
normal-RUMC,test_007,45623,normal,RUMC
tumor-RUMC,test_021,23187,tumor,RUMC
normal-UMCU,normal_101,20480,normal,UMCU
normal-RUMC,normal_097,49346,normal,RUMC
tumor-RUMC,tumor_044,43529,tumor,RUMC
normal-UMCU,normal_147,6479,normal,UMCU
tumor-RUMC,test_040,52531,tumor,RUMC
normal-UMCU,normal_147,37031,normal,UMCU
normal-UMCU,normal_147,33554,normal,UMCU
normal-UMCU,normal_133,16870,normal,UMCU
tumor-UMCU,tumor_085,10044,tumor,UMCU
normal-RUMC,normal_097,37683,normal,RUMC
normal-RUMC,test_056,67728,normal,RUMC
normal-UMCU,test_095,20337,normal,UMCU
tumor-RUMC,tumor_009,11321,tumor,RUMC
normal-UMCU,test_109,11347,normal,UMCU
tumor-RUMC,tumor_047,33246,tumor,RUMC
normal-RUMC,test_059,46576,normal,RUMC
normal-UMCU,test_109,14041,normal,UMCU
normal-RUMC,test_007,50424,normal,RUMC
tumor-UMCU,test_105,29179,tumor,UMCU
normal-RUMC,test_056,42962,normal,RUMC
tumor-UMCU,tumor_110,15288,tumor,UMCU
normal-UMCU,normal_116,14061,normal,UMCU
tumor-UMCU,tumor_089,36030,tumor,UMCU
tumor-UMCU,tumor_101,8154,tumor,UMCU
normal-UMCU,normal_147,36253,normal,UMCU
tumor-RUMC,test_068,40937,tumor,RUMC
normal-UMCU,test_109,975,normal,UMCU
normal-RUMC,test_035,67171,normal,RUMC
tumor-RUMC,tumor_009,15975,tumor,RUMC
tumor-UMCU,tumor_078,18165,tumor,UMCU
normal-UMCU,test_095,21795,normal,UMCU
normal-RUMC,normal_035,39934,normal,RUMC
tumor-UMCU,tumor_085,20407,tumor,UMCU
tumor-UMCU,test_105,23376,tumor,UMCU
tumor-UMCU,tumor_072,31599,tumor,UMCU
normal-RUMC,test_039,67581,normal,RUMC
tumor-RUMC,test_090,34600,tumor,RUMC
tumor-UMCU,tumor_090,18931,tumor,UMCU
normal-RUMC,normal_017,19654,normal,RUMC
tumor-UMCU,test_114,16018,tumor,UMCU
tumor-UMCU,test_016,7739,tumor,UMCU
normal-RUMC,test_081,53986,normal,RUMC
tumor-UMCU,test_016,2444,tumor,UMCU
normal-UMCU,test_095,17537,normal,UMCU
normal-UMCU,test_109,23802,normal,UMCU
tumor-RUMC,tumor_064,69241,tumor,RUMC
tumor-RUMC,test_021,27039,tumor,RUMC
normal-UMCU,normal_133,21784,normal,UMCU
normal-UMCU,normal_116,12966,normal,UMCU
tumor-RUMC,tumor_068,35132,tumor,RUMC
normal-RUMC,normal_054,21867,normal,RUMC
tumor-RUMC,tumor_046,39797,tumor,RUMC
normal-RUMC,normal_097,28587,normal,RUMC
normal-RUMC,test_007,34388,normal,RUMC
normal-RUMC,normal_064,21903,normal,RUMC
normal-RUMC,normal_061,28708,normal,RUMC
tumor-UMCU,tumor_101,6051,tumor,UMCU
normal-UMCU,normal_150,7953,normal,UMCU
normal-RUMC,test_059,35849,normal,RUMC
tumor-RUMC,tumor_016,36589,tumor,RUMC
tumor-RUMC,test_068,38775,tumor,RUMC
normal-RUMC,normal_054,27483,normal,RUMC
normal-RUMC,normal_027,59426,normal,RUMC
tumor-RUMC,tumor_026,23947,tumor,RUMC
normal-RUMC,test_107,47766,normal,RUMC
tumor-UMCU,tumor_095,21556,tumor,UMCU
normal-UMCU,normal_101,17762,normal,UMCU
normal-UMCU,test_034,24487,normal,UMCU
normal-UMCU,test_034,19558,normal,UMCU
tumor-RUMC,tumor_046,50143,tumor,RUMC
normal-UMCU,normal_138,14822,normal,UMCU
normal-UMCU,normal_137,10121,normal,UMCU
tumor-RUMC,tumor_064,20057,tumor,RUMC
normal-RUMC,normal_059,29667,normal,RUMC
normal-UMCU,test_109,32736,normal,UMCU
normal-RUMC,normal_035,43011,normal,RUMC
tumor-UMCU,test_016,9049,tumor,UMCU
normal-RUMC,test_056,64298,normal,RUMC
normal-RUMC,test_035,67207,normal,RUMC
tumor-RUMC,tumor_011,53007,tumor,RUMC
normal-RUMC,test_081,36565,normal,RUMC
normal-RUMC,test_007,68433,normal,RUMC
normal-RUMC,test_039,66283,normal,RUMC
tumor-UMCU,test_026,7368,tumor,UMCU
normal-RUMC,test_035,30497,normal,RUMC
tumor-UMCU,test_073,38113,tumor,UMCU
normal-RUMC,normal_017,33447,normal,RUMC
tumor-RUMC,test_040,56424,tumor,RUMC
tumor-RUMC,tumor_046,35468,tumor,RUMC
normal-RUMC,normal_094,59420,normal,RUMC
normal-RUMC,normal_097,54815,normal,RUMC
tumor-UMCU,tumor_089,12084,tumor,UMCU
tumor-RUMC,tumor_068,38935,tumor,RUMC
tumor-UMCU,tumor_085,22666,tumor,UMCU
tumor-UMCU,tumor_095,22403,tumor,UMCU
tumor-RUMC,tumor_016,36587,tumor,RUMC
tumor-UMCU,test_026,9184,tumor,UMCU
normal-UMCU,normal_133,18475,normal,UMCU
tumor-RUMC,tumor_046,38485,tumor,RUMC
normal-UMCU,normal_116,2597,normal,UMCU
normal-UMCU,normal_125,20679,normal,UMCU
tumor-RUMC,test_040,56427,tumor,RUMC
normal-RUMC,normal_035,39071,normal,RUMC
normal-RUMC,test_039,66271,normal,RUMC
normal-RUMC,test_035,67164,normal,RUMC
normal-RUMC,normal_061,22230,normal,RUMC
normal-UMCU,normal_138,48979,normal,UMCU
normal-RUMC,normal_045,47278,normal,RUMC
normal-UMCU,test_109,2661,normal,UMCU
normal-RUMC,test_056,25305,normal,RUMC
normal-RUMC,normal_064,65184,normal,RUMC
tumor-UMCU,tumor_101,6333,tumor,UMCU
tumor-RUMC,test_040,58174,tumor,RUMC
tumor-RUMC,tumor_039,43838,tumor,RUMC
normal-UMCU,normal_121,48302,normal,UMCU
normal-RUMC,normal_027,52057,normal,RUMC
tumor-UMCU,tumor_072,4464,tumor,UMCU
tumor-RUMC,tumor_058,33122,tumor,RUMC
tumor-RUMC,tumor_039,55954,tumor,RUMC
normal-UMCU,normal_125,10843,normal,UMCU
normal-UMCU,test_109,10287,normal,UMCU
tumor-RUMC,test_068,31003,tumor,RUMC
tumor-UMCU,tumor_109,33864,tumor,UMCU
normal-RUMC,test_007,19284,normal,RUMC
normal-RUMC,test_107,49062,normal,RUMC
tumor-UMCU,test_114,28658,tumor,UMCU
tumor-UMCU,test_105,12077,tumor,UMCU
tumor-RUMC,tumor_055,50024,tumor,RUMC
normal-RUMC,normal_061,70316,normal,RUMC
tumor-RUMC,tumor_016,28401,tumor,RUMC
normal-UMCU,normal_137,41481,normal,UMCU
normal-RUMC,normal_017,19225,normal,RUMC
tumor-UMCU,tumor_085,11608,tumor,UMCU
normal-RUMC,normal_097,23573,normal,RUMC
tumor-UMCU,test_105,37024,tumor,UMCU
tumor-UMCU,tumor_090,13953,tumor,UMCU
normal-RUMC,normal_035,26999,normal,RUMC
tumor-UMCU,tumor_078,32435,tumor,UMCU
normal-UMCU,normal_116,5514,normal,UMCU
normal-RUMC,normal_054,23169,normal,RUMC
tumor-UMCU,tumor_101,11811,tumor,UMCU
tumor-RUMC,tumor_046,19538,tumor,RUMC
normal-UMCU,normal_133,13498,normal,UMCU
tumor-RUMC,tumor_039,53807,tumor,RUMC
tumor-RUMC,tumor_055,52629,tumor,RUMC
tumor-UMCU,tumor_072,30898,tumor,UMCU
normal-RUMC,normal_094,42374,normal,RUMC
tumor-UMCU,tumor_101,31958,tumor,UMCU
tumor-RUMC,tumor_039,41247,tumor,RUMC
tumor-UMCU,tumor_109,31047,tumor,UMCU
tumor-UMCU,tumor_110,9474,tumor,UMCU
tumor-UMCU,test_105,19014,tumor,UMCU
normal-RUMC,test_039,68442,normal,RUMC
normal-RUMC,normal_027,27525,normal,RUMC
normal-RUMC,test_039,62402,normal,RUMC
normal-RUMC,normal_054,27913,normal,RUMC
tumor-RUMC,test_090,57523,tumor,RUMC
tumor-RUMC,tumor_039,39952,tumor,RUMC
tumor-RUMC,tumor_046,35043,tumor,RUMC
tumor-RUMC,tumor_026,52772,tumor,RUMC
normal-UMCU,test_109,21453,normal,UMCU
normal-UMCU,test_044,3424,normal,UMCU
tumor-UMCU,tumor_090,16563,tumor,UMCU
tumor-UMCU,tumor_089,18534,tumor,UMCU
normal-UMCU,normal_150,9605,normal,UMCU
normal-RUMC,test_056,53056,normal,RUMC
tumor-UMCU,tumor_085,26690,tumor,UMCU
tumor-RUMC,test_021,48184,tumor,RUMC
normal-RUMC,test_107,43836,normal,RUMC
normal-UMCU,test_044,21121,normal,UMCU
tumor-UMCU,tumor_101,7730,tumor,UMCU
normal-UMCU,normal_137,12263,normal,UMCU
normal-UMCU,normal_137,15032,normal,UMCU
tumor-RUMC,test_090,13690,tumor,RUMC
normal-RUMC,normal_054,24017,normal,RUMC
normal-UMCU,normal_130,17452,normal,UMCU
normal-RUMC,normal_064,36179,normal,RUMC
tumor-RUMC,test_068,34896,tumor,RUMC
normal-UMCU,normal_150,8549,normal,UMCU
tumor-RUMC,tumor_046,47595,tumor,RUMC
tumor-UMCU,test_073,48522,tumor,UMCU
normal-UMCU,normal_138,44436,normal,UMCU
tumor-UMCU,test_026,8796,tumor,UMCU
normal-UMCU,normal_130,6901,normal,UMCU
tumor-RUMC,tumor_054,35145,tumor,RUMC
normal-RUMC,normal_017,31707,normal,RUMC
tumor-UMCU,test_105,16999,tumor,UMCU
tumor-RUMC,tumor_064,71390,tumor,RUMC
tumor-UMCU,test_105,32240,tumor,UMCU
tumor-UMCU,tumor_101,11946,tumor,UMCU
tumor-RUMC,tumor_011,60700,tumor,RUMC
normal-UMCU,normal_101,19650,normal,UMCU
normal-RUMC,normal_017,34310,normal,RUMC
tumor-RUMC,tumor_068,48286,tumor,RUMC
tumor-RUMC,tumor_026,67924,tumor,RUMC
tumor-UMCU,test_016,11609,tumor,UMCU
tumor-RUMC,tumor_054,39435,tumor,RUMC
tumor-RUMC,tumor_011,63284,tumor,RUMC
normal-RUMC,test_059,67701,normal,RUMC
normal-UMCU,normal_116,5486,normal,UMCU
normal-UMCU,normal_141,2768,normal,UMCU
normal-RUMC,normal_064,28680,normal,RUMC
normal-RUMC,test_035,69784,normal,RUMC
tumor-RUMC,tumor_011,53867,tumor,RUMC
tumor-UMCU,tumor_078,30938,tumor,UMCU
normal-UMCU,normal_133,12791,normal,UMCU
tumor-UMCU,test_073,46841,tumor,UMCU
normal-RUMC,normal_061,32982,normal,RUMC
normal-UMCU,normal_138,52400,normal,UMCU
tumor-UMCU,tumor_090,14818,tumor,UMCU
normal-UMCU,normal_133,18688,normal,UMCU
normal-UMCU,normal_101,8742,normal,UMCU
tumor-RUMC,test_021,30951,tumor,RUMC
normal-UMCU,test_109,8750,normal,UMCU
normal-RUMC,test_007,42210,normal,RUMC
tumor-RUMC,test_090,18588,tumor,RUMC
tumor-RUMC,tumor_055,56499,tumor,RUMC
tumor-RUMC,tumor_044,37442,tumor,RUMC
normal-UMCU,normal_130,10019,normal,UMCU
normal-UMCU,normal_130,8686,normal,UMCU
normal-UMCU,normal_133,7512,normal,UMCU
tumor-UMCU,tumor_078,28087,tumor,UMCU
tumor-UMCU,tumor_095,17805,tumor,UMCU
tumor-UMCU,tumor_089,36029,tumor,UMCU
tumor-RUMC,tumor_046,41958,tumor,RUMC
tumor-RUMC,test_021,55076,tumor,RUMC
normal-UMCU,normal_130,14943,normal,UMCU
normal-RUMC,normal_054,25329,normal,RUMC
tumor-UMCU,tumor_101,11660,tumor,UMCU
normal-UMCU,test_109,5174,normal,UMCU
tumor-RUMC,tumor_055,56504,tumor,RUMC
tumor-RUMC,tumor_054,42916,tumor,RUMC
normal-UMCU,normal_121,58084,normal,UMCU
normal-UMCU,test_034,23055,normal,UMCU
tumor-RUMC,tumor_026,27399,tumor,RUMC
tumor-UMCU,tumor_078,9443,tumor,UMCU
normal-RUMC,test_081,48148,normal,RUMC
normal-UMCU,normal_137,45211,normal,UMCU
normal-UMCU,normal_121,16188,normal,UMCU
tumor-UMCU,tumor_072,4637,tumor,UMCU
normal-RUMC,normal_094,51041,normal,RUMC
tumor-RUMC,test_090,42045,tumor,RUMC
tumor-UMCU,tumor_110,8234,tumor,UMCU
tumor-UMCU,test_113,18823,tumor,UMCU
normal-UMCU,test_095,8680,normal,UMCU
tumor-RUMC,test_040,21849,tumor,RUMC
normal-RUMC,test_056,59398,normal,RUMC
tumor-RUMC,tumor_064,14554,tumor,RUMC
tumor-RUMC,tumor_047,17987,tumor,RUMC
normal-UMCU,normal_130,8958,normal,UMCU
normal-RUMC,test_056,8462,normal,RUMC
tumor-UMCU,tumor_089,34971,tumor,UMCU
normal-RUMC,test_035,30494,normal,RUMC
normal-UMCU,normal_112,26297,normal,UMCU
normal-UMCU,test_109,28867,normal,UMCU
normal-UMCU,normal_130,22533,normal,UMCU
normal-RUMC,test_081,25905,normal,RUMC
tumor-UMCU,test_105,31076,tumor,UMCU
normal-UMCU,normal_101,17252,normal,UMCU
tumor-RUMC,tumor_047,64679,tumor,RUMC
tumor-UMCU,test_073,48021,tumor,UMCU
tumor-UMCU,tumor_101,32111,tumor,UMCU
normal-RUMC,normal_054,19703,normal,RUMC
tumor-RUMC,test_040,47345,tumor,RUMC
normal-UMCU,normal_150,6398,normal,UMCU
tumor-UMCU,tumor_072,5168,tumor,UMCU
normal-RUMC,test_107,57281,normal,RUMC
normal-UMCU,normal_116,11840,normal,UMCU
tumor-RUMC,tumor_068,33859,tumor,RUMC
normal-RUMC,test_039,63677,normal,RUMC
normal-RUMC,test_059,66857,normal,RUMC
normal-UMCU,normal_133,13885,normal,UMCU
normal-UMCU,test_044,21800,normal,UMCU
tumor-UMCU,tumor_085,23543,tumor,UMCU
normal-UMCU,normal_103,2858,normal,UMCU
normal-RUMC,normal_027,60723,normal,RUMC
tumor-UMCU,test_113,25960,tumor,UMCU
normal-UMCU,test_109,10806,normal,UMCU
tumor-UMCU,tumor_088,50274,tumor,UMCU
normal-UMCU,test_034,22114,normal,UMCU
tumor-UMCU,test_105,31265,tumor,UMCU
tumor-UMCU,tumor_089,31205,tumor,UMCU
tumor-UMCU,test_105,11609,tumor,UMCU
normal-UMCU,normal_116,14729,normal,UMCU
normal-UMCU,test_034,10314,normal,UMCU
tumor-RUMC,tumor_011,54737,tumor,RUMC
normal-UMCU,normal_147,39723,normal,UMCU
normal-UMCU,normal_125,12026,normal,UMCU
tumor-RUMC,tumor_046,49296,tumor,RUMC
tumor-RUMC,test_068,40945,tumor,RUMC
tumor-RUMC,tumor_009,57074,tumor,RUMC
normal-UMCU,normal_141,3864,normal,UMCU
normal-UMCU,test_044,6936,normal,UMCU
normal-UMCU,normal_147,45111,normal,UMCU
normal-UMCU,normal_137,14243,normal,UMCU
tumor-UMCU,test_105,26974,tumor,UMCU
tumor-UMCU,test_016,5562,tumor,UMCU
normal-RUMC,normal_094,30780,normal,RUMC
normal-RUMC,normal_045,42265,normal,RUMC
normal-RUMC,test_056,35746,normal,RUMC
tumor-RUMC,tumor_044,47881,tumor,RUMC
tumor-RUMC,tumor_011,61563,tumor,RUMC
normal-RUMC,normal_064,49384,normal,RUMC
tumor-RUMC,tumor_068,38947,tumor,RUMC
normal-UMCU,test_044,5352,normal,UMCU
tumor-RUMC,tumor_044,52636,tumor,RUMC
tumor-RUMC,tumor_039,53366,tumor,RUMC
normal-RUMC,normal_027,49897,normal,RUMC
normal-RUMC,test_035,65071,normal,RUMC
tumor-UMCU,test_026,13043,tumor,UMCU
normal-UMCU,normal_121,51533,normal,UMCU
normal-UMCU,normal_130,17583,normal,UMCU
normal-RUMC,normal_035,22251,normal,RUMC
normal-UMCU,normal_137,10471,normal,UMCU
tumor-RUMC,tumor_054,35576,tumor,RUMC
tumor-RUMC,tumor_039,41679,tumor,RUMC
tumor-RUMC,tumor_044,54754,tumor,RUMC
normal-UMCU,normal_116,4438,normal,UMCU
normal-RUMC,test_107,43400,normal,RUMC
normal-RUMC,normal_027,45144,normal,RUMC
normal-UMCU,normal_130,18634,normal,UMCU
tumor-RUMC,test_021,58130,tumor,RUMC
tumor-RUMC,tumor_039,43834,tumor,RUMC
normal-UMCU,normal_125,34614,normal,UMCU
tumor-RUMC,tumor_055,53485,tumor,RUMC
normal-RUMC,test_056,44373,normal,RUMC
normal-UMCU,normal_116,7038,normal,UMCU
normal-UMCU,normal_138,35373,normal,UMCU
normal-RUMC,normal_054,28339,normal,RUMC
tumor-UMCU,tumor_078,18180,tumor,UMCU
normal-UMCU,normal_121,59109,normal,UMCU
tumor-RUMC,tumor_046,35011,tumor,RUMC
tumor-UMCU,tumor_109,30872,tumor,UMCU
normal-RUMC,normal_064,59242,normal,RUMC
tumor-UMCU,test_105,12868,tumor,UMCU
normal-RUMC,normal_054,21003,normal,RUMC
normal-RUMC,normal_017,42477,normal,RUMC
tumor-RUMC,tumor_026,70089,tumor,RUMC
normal-RUMC,test_039,43796,normal,RUMC
tumor-UMCU,tumor_088,50106,tumor,UMCU
normal-RUMC,normal_094,39368,normal,RUMC
normal-RUMC,normal_061,29981,normal,RUMC
tumor-RUMC,tumor_026,28715,tumor,RUMC
normal-RUMC,normal_061,27110,normal,RUMC
tumor-RUMC,tumor_054,55097,tumor,RUMC
tumor-RUMC,tumor_044,63409,tumor,RUMC
tumor-RUMC,tumor_064,14534,tumor,RUMC
normal-RUMC,normal_054,23159,normal,RUMC
normal-RUMC,test_107,49512,normal,RUMC
normal-RUMC,normal_017,29551,normal,RUMC
tumor-UMCU,tumor_072,6216,tumor,UMCU
tumor-UMCU,tumor_090,20012,tumor,UMCU
normal-UMCU,normal_116,14033,normal,UMCU
normal-UMCU,normal_130,18133,normal,UMCU
normal-RUMC,normal_054,27478,normal,RUMC
tumor-UMCU,tumor_101,31687,tumor,UMCU
normal-RUMC,normal_017,33016,normal,RUMC
tumor-RUMC,tumor_055,48310,tumor,RUMC
tumor-UMCU,tumor_088,13234,tumor,UMCU
normal-UMCU,normal_141,4219,normal,UMCU
normal-RUMC,test_081,59500,normal,RUMC
tumor-UMCU,test_113,22152,tumor,UMCU
tumor-UMCU,tumor_102,60321,tumor,UMCU
tumor-UMCU,tumor_110,8353,tumor,UMCU
normal-UMCU,normal_101,20330,normal,UMCU
normal-RUMC,test_081,33809,normal,RUMC
tumor-UMCU,tumor_110,15750,tumor,UMCU
tumor-RUMC,tumor_011,63286,tumor,RUMC
tumor-RUMC,tumor_064,16718,tumor,RUMC
tumor-RUMC,tumor_055,50463,tumor,RUMC
normal-RUMC,normal_054,25307,normal,RUMC
normal-RUMC,normal_097,33554,normal,RUMC
tumor-UMCU,tumor_090,14376,tumor,UMCU
normal-RUMC,test_007,26965,normal,RUMC
normal-RUMC,normal_045,36870,normal,RUMC
normal-UMCU,normal_116,1600,normal,UMCU
normal-RUMC,test_081,38523,normal,RUMC
normal-RUMC,normal_061,30138,normal,RUMC
normal-RUMC,normal_097,58148,normal,RUMC
normal-RUMC,normal_059,59470,normal,RUMC
normal-UMCU,normal_112,34355,normal,UMCU
normal-UMCU,test_095,19410,normal,UMCU
tumor-UMCU,tumor_085,13200,tumor,UMCU
normal-RUMC,normal_094,29914,normal,RUMC
tumor-RUMC,test_090,21112,tumor,RUMC
normal-UMCU,test_109,24114,normal,UMCU
tumor-RUMC,tumor_046,46687,tumor,RUMC
tumor-UMCU,test_026,6956,tumor,UMCU
tumor-RUMC,tumor_047,34863,tumor,RUMC
normal-UMCU,test_044,11936,normal,UMCU
tumor-UMCU,test_113,32024,tumor,UMCU
normal-UMCU,normal_150,3382,normal,UMCU
normal-RUMC,normal_097,30646,normal,RUMC
tumor-RUMC,tumor_055,50895,tumor,RUMC
tumor-UMCU,test_016,5005,tumor,UMCU
normal-UMCU,normal_116,5593,normal,UMCU
normal-RUMC,test_007,65861,normal,RUMC
normal-RUMC,normal_094,43892,normal,RUMC
tumor-RUMC,tumor_016,36156,tumor,RUMC
normal-RUMC,normal_094,40784,normal,RUMC
tumor-UMCU,test_113,29100,tumor,UMCU
tumor-UMCU,tumor_088,13942,tumor,UMCU
tumor-UMCU,tumor_089,8951,tumor,UMCU
tumor-UMCU,tumor_088,50102,tumor,UMCU
normal-RUMC,normal_097,69387,normal,RUMC
tumor-RUMC,tumor_068,36404,tumor,RUMC
normal-UMCU,test_034,21210,normal,UMCU
tumor-RUMC,tumor_064,16282,tumor,RUMC
tumor-RUMC,tumor_068,35128,tumor,RUMC
tumor-UMCU,tumor_109,32643,tumor,UMCU
normal-RUMC,normal_059,35199,normal,RUMC
tumor-RUMC,test_068,40506,tumor,RUMC
tumor-UMCU,test_114,11088,tumor,UMCU
normal-UMCU,test_109,33198,normal,UMCU
normal-UMCU,normal_125,22530,normal,UMCU
tumor-RUMC,test_040,52091,tumor,RUMC
tumor-UMCU,test_016,26497,tumor,UMCU
normal-RUMC,test_035,30021,normal,RUMC
tumor-RUMC,tumor_054,18383,tumor,RUMC
normal-UMCU,normal_138,48402,normal,UMCU
normal-UMCU,test_109,34192,normal,UMCU
normal-UMCU,normal_137,41866,normal,UMCU
tumor-RUMC,test_040,52528,tumor,RUMC
normal-UMCU,normal_147,32016,normal,UMCU
normal-UMCU,test_044,6539,normal,UMCU
normal-RUMC,normal_097,31035,normal,RUMC
tumor-UMCU,test_073,41344,tumor,UMCU
normal-UMCU,normal_137,18072,normal,UMCU
normal-UMCU,normal_116,3345,normal,UMCU
normal-RUMC,test_056,22727,normal,RUMC
tumor-UMCU,tumor_109,33168,tumor,UMCU
normal-RUMC,test_039,62397,normal,RUMC
tumor-UMCU,test_016,16164,tumor,UMCU
normal-UMCU,normal_138,24639,normal,UMCU
tumor-UMCU,test_073,11441,tumor,UMCU
normal-UMCU,normal_141,21160,normal,UMCU
